Tue Oct 25 23:23:08 2022

23:23:17 Humidity : 9.83 %
23:23:18 Humidity : 9.83 %
23:23:19 Humidity : 9.43 %
23:23:20 Humidity : 9.43 %
23:23:21 Humidity : 9.59 %
23:23:23 Humidity : 9.59 %
23:23:24 Humidity : 9.77 %
23:23:25 Humidity : 9.77 %
23:23:26 Humidity : 9.36 %
23:23:27 Humidity : 9.36 %
23:23:28 Humidity : 8.95 %
23:23:29 Humidity : 8.95 %
23:23:30 Humidity : 9.11 %
23:23:31 Humidity : 9.11 %
23:23:32 Humidity : 9.71 %
23:23:33 Humidity : 9.71 %
23:23:34 Humidity : 9.3 %
23:23:35 Humidity : 9.3 %
23:23:36 Humidity : 9.47 %
23:23:37 Humidity : 9.47 %
23:23:38 Humidity : 9.06 %
23:23:39 Humidity : 9.06 %
23:23:40 Humidity : 9.66 %
23:23:41 Humidity : 9.66 %
23:23:42 Humidity : 9.82 %
23:23:43 Humidity : 9.82 %
23:23:44 Humidity : 9.41 %
23:23:45 Humidity : 9.41 %
23:23:46 Humidity : 9.01 %
23:23:47 Humidity : 9.01 %


Tue Oct 25 23:25:00 2022

23:25:1 Humidity : 8.54 %
23:25:2 Humidity : 8.54 %
23:25:3 Humidity : 9.84 %
23:25:4 Humidity : 9.84 %


Tue Oct 25 23:26:03 2022

23:26:4 Humidity : 7.87 %
23:26:5 Humidity : 7.87 %
23:26:6 Humidity : 8.28 %
23:26:7 Humidity : 8.28 %
23:26:8 Humidity : 7.14 %
23:26:9 Humidity : 7.14 %
23:26:10 Humidity : 6.73 %
23:26:11 Humidity : 6.73 %
23:26:12 Humidity : 7.93 %
23:26:13 Humidity : 7.93 %
23:26:14 Humidity : 7.77 %


Tue Oct 25 23:26:39 2022

23:26:40 Humidity : 7.22 %
23:26:41 Humidity : 7.22 %
23:26:42 Humidity : 8.33 %
23:26:43 Humidity : 8.33 %
23:26:44 Humidity : 7.73 %
23:26:45 Humidity : 7.73 %
23:26:46 Humidity : 6.56 %
23:26:47 Humidity : 6.56 %
23:26:48 Humidity : 6.73 %
23:26:49 Humidity : 6.73 %
23:26:50 Humidity : 7.37 %
23:26:51 Humidity : 7.37 %
23:26:52 Humidity : 7.78 %
23:26:53 Humidity : 7.78 %
23:26:54 Humidity : 7.08 %
23:26:55 Humidity : 7.08 %
23:26:56 Humidity : 6.67 %
23:26:57 Humidity : 6.67 %
23:26:58 Humidity : 7.42 %
23:26:59 Humidity : 7.42 %
