Tue Oct 25 23:23:08 2022

23:23:17 Pressure : 80 atm
23:23:18 Pressure : 80 atm
23:23:19 Pressure : 80 atm
23:23:20 Pressure : 81 atm
23:23:21 Pressure : 79 atm
23:23:23 Pressure : 80 atm
23:23:24 Pressure : 80 atm
23:23:25 Pressure : 81 atm
23:23:26 Pressure : 81 atm
23:23:27 Pressure : 80 atm
23:23:28 Pressure : 80 atm
23:23:29 Pressure : 79 atm
23:23:30 Pressure : 79 atm
23:23:31 Pressure : 81 atm
23:23:32 Pressure : 80 atm
23:23:33 Pressure : 80 atm
23:23:34 Pressure : 81 atm
23:23:35 Pressure : 79 atm
23:23:36 Pressure : 81 atm
23:23:37 Pressure : 80 atm
23:23:38 Pressure : 80 atm
23:23:39 Pressure : 81 atm
23:23:40 Pressure : 79 atm
23:23:41 Pressure : 79 atm
23:23:42 Pressure : 80 atm
23:23:43 Pressure : 80 atm
23:23:44 Pressure : 81 atm
23:23:45 Pressure : 81 atm
23:23:46 Pressure : 79 atm
23:23:47 Pressure : 80 atm


Tue Oct 25 23:25:00 2022

23:25:1 Pressure : 78 atm
23:25:2 Pressure : 78 atm
23:25:3 Pressure : 79 atm
23:25:4 Pressure : 79 atm


Tue Oct 25 23:26:03 2022

23:26:4 Pressure : 80 atm
23:26:5 Pressure : 79 atm
23:26:6 Pressure : 79 atm
23:26:7 Pressure : 78 atm
23:26:8 Pressure : 78 atm
23:26:9 Pressure : 79 atm
23:26:10 Pressure : 79 atm
23:26:11 Pressure : 79 atm
23:26:12 Pressure : 80 atm
23:26:13 Pressure : 78 atm
23:26:14 Pressure : 79 atm


Tue Oct 25 23:26:39 2022

23:26:40 Pressure : 78 atm
23:26:41 Pressure : 79 atm
23:26:42 Pressure : 79 atm
23:26:43 Pressure : 77 atm
23:26:44 Pressure : 78 atm
23:26:45 Pressure : 78 atm
23:26:46 Pressure : 77 atm
23:26:47 Pressure : 79 atm
23:26:48 Pressure : 77 atm
23:26:49 Pressure : 78 atm
23:26:50 Pressure : 78 atm
23:26:51 Pressure : 77 atm
23:26:52 Pressure : 79 atm
23:26:53 Pressure : 79 atm
23:26:54 Pressure : 78 atm
23:26:55 Pressure : 78 atm
23:26:56 Pressure : 77 atm
23:26:57 Pressure : 77 atm
23:26:58 Pressure : 79 atm
23:26:59 Pressure : 78 atm
