Tue Oct 25 23:23:08 2022

23:23:17 Temperature : 24.83 °C
23:23:18 Temperature : 24.83 °C
23:23:19 Temperature : 24.43 °C
23:23:20 Temperature : 24.43 °C
23:23:21 Temperature : 24.59 °C
23:23:23 Temperature : 24.59 °C
23:23:24 Temperature : 24.77 °C
23:23:25 Temperature : 24.77 °C
23:23:26 Temperature : 24.36 °C
23:23:27 Temperature : 24.36 °C
23:23:28 Temperature : 23.95 °C
23:23:29 Temperature : 23.95 °C
23:23:30 Temperature : 24.11 °C
23:23:31 Temperature : 24.11 °C
23:23:32 Temperature : 24.71 °C
23:23:33 Temperature : 24.71 °C
23:23:34 Temperature : 24.3 °C
23:23:35 Temperature : 24.3 °C
23:23:36 Temperature : 24.47 °C
23:23:37 Temperature : 24.47 °C
23:23:38 Temperature : 24.06 °C
23:23:39 Temperature : 24.06 °C
23:23:40 Temperature : 24.66 °C
23:23:41 Temperature : 24.66 °C
23:23:42 Temperature : 24.82 °C
23:23:43 Temperature : 24.82 °C
23:23:44 Temperature : 24.41 °C
23:23:45 Temperature : 24.41 °C
23:23:46 Temperature : 24.01 °C
23:23:47 Temperature : 24.01 °C


Tue Oct 25 23:25:00 2022

23:25:1 Temperature : 23.54 °C
23:25:2 Temperature : 23.54 °C
23:25:3 Temperature : 24.84 °C
23:25:4 Temperature : 24.84 °C


Tue Oct 25 23:26:03 2022

23:26:4 Temperature : 22.87 °C
23:26:5 Temperature : 22.87 °C
23:26:6 Temperature : 23.28 °C
23:26:7 Temperature : 23.28 °C
23:26:8 Temperature : 22.14 °C
23:26:9 Temperature : 22.14 °C
23:26:10 Temperature : 21.73 °C
23:26:11 Temperature : 21.73 °C
23:26:12 Temperature : 22.93 °C
23:26:13 Temperature : 22.93 °C
23:26:14 Temperature : 22.77 °C


Tue Oct 25 23:26:39 2022

23:26:40 Temperature : 22.22 °C
23:26:41 Temperature : 22.22 °C
23:26:42 Temperature : 23.33 °C
23:26:43 Temperature : 23.33 °C
23:26:44 Temperature : 22.73 °C
23:26:45 Temperature : 22.73 °C
23:26:46 Temperature : 21.56 °C
23:26:47 Temperature : 21.56 °C
23:26:48 Temperature : 21.73 °C
23:26:49 Temperature : 21.73 °C
23:26:50 Temperature : 22.37 °C
23:26:51 Temperature : 22.37 °C
23:26:52 Temperature : 22.78 °C
23:26:53 Temperature : 22.78 °C
23:26:54 Temperature : 22.08 °C
23:26:55 Temperature : 22.08 °C
23:26:56 Temperature : 21.67 °C
23:26:57 Temperature : 21.67 °C
23:26:58 Temperature : 22.42 °C
23:26:59 Temperature : 22.42 °C
