Temps : 0 s, Lumière : allumé 
Temps : 1 s, Lumière : allumé 
Temps : 2 s, Lumière : allumé 
Temps : 3 s, Lumière : allumé 
Temps : 4 s, Lumière : allumé 
Temps : 5 s, Lumière : allumé 
Temps : 6 s, Lumière : éteint 
Temps : 7 s, Lumière : éteint 
Temps : 8 s, Lumière : éteint 
Temps : 9 s, Lumière : allumé 
Temps : 10 s, Lumière : allumé 
Temps : 11 s, Lumière : allumé 
Temps : 12 s, Lumière : allumé 
Temps : 13 s, Lumière : allumé 
Temps : 14 s, Lumière : allumé 
Temps : 15 s, Lumière : allumé 
Temps : 16 s, Lumière : allumé 
Temps : 17 s, Lumière : allumé 
Temps : 18 s, Lumière : allumé 
