Temps : 0 s, Pression : 100 kPa,
Temps : 1 s, Pression : 100 kPa,
Temps : 2 s, Pression : 101 kPa,
Temps : 3 s, Pression : 101 kPa,
Temps : 4 s, Pression : 100 kPa,
Temps : 5 s, Pression : 100 kPa,
Temps : 6 s, Pression : 99 kPa,
Temps : 7 s, Pression : 101 kPa,
Temps : 8 s, Pression : 100 kPa,
Temps : 9 s, Pression : 100 kPa,
Temps : 10 s, Pression : 101 kPa,
Temps : 11 s, Pression : 99 kPa,
Temps : 12 s, Pression : 101 kPa,
Temps : 13 s, Pression : 100 kPa,
Temps : 14 s, Pression : 100 kPa,
Temps : 15 s, Pression : 101 kPa,
Temps : 16 s, Pression : 99 kPa,
Temps : 17 s, Pression : 99 kPa,
Temps : 18 s, Pression : 100 kPa,
