0s | Temperature: -9.8øC | Humidity: 10.6% | Light: 0.4 | Pressure: 540.8 bar,
1s | Temperature: -12øC | Humidity: 10.1% | Light: 0.1 | Pressure: 603.5 bar,
2s | Temperature: -12.9øC | Humidity: 12% | Light: 1.8 | Pressure: 644.3 bar,
3s | Temperature: -13.8øC | Humidity: 12.2% | Light: 0.9 | Pressure: 554.2 bar,
4s | Temperature: -0.3øC | Humidity: 11% | Light: 0.4 | Pressure: 640.9 bar,
5s | Temperature: -12.9øC | Humidity: 13% | Light: 0.6 | Pressure: 607.2 bar,
6s | Temperature: -8.5øC | Humidity: 13.6% | Light: 1.1 | Pressure: 619.2 bar,
7s | Temperature: -14.2øC | Humidity: 16% | Light: 1.4 | Pressure: 611.3 bar,
8s | Temperature: -4.7øC | Humidity: 15.7% | Light: 0.4 | Pressure: 591.6 bar,
9s | Temperature: -1.7øC | Humidity: 13.7% | Light: 1.4 | Pressure: 590.1 bar,
10s | Temperature: -12øC | Humidity: 13.6% | Light: 1.7 | Pressure: 628.4 bar,
11s | Temperature: -2øC | Humidity: 16.4% | Light: 0.5 | Pressure: 543.9 bar,
